"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
04/08/19,62.821999999999996,4.487,51.208999999999996,9.181000000000001,12:45PM,Partly Cloudy
03/08/19,62.131,4.438,44.352,9.3,1:35PM,Partly Cloudy
02/08/19,65.318,4.666,43.729,9.055,12:45PM,Partly Cloudy
01/08/19,65.449,4.675,50.998000000000005,9.167,1:20PM,Partly Cloudy
31/07/19,66.331,4.738,55.265,9.334,1:20PM,Partly Cloudy
30/07/19,63.788000000000004,4.556,52.312,9.655,12:20PM,Partly Cloudy
29/07/19,65.926,4.709,53.52,9.279,1:40PM,Partly Cloudy
28/07/19,63.01,4.501,49.976000000000006,9.894,12:35PM,Partly Cloudy
27/07/19,64.456,4.604,52.205,9.024,1:15PM,Partly Cloudy
26/07/19,63.29600000000001,4.521,51.69,8.974,12:50PM,Partly Cloudy
25/07/19,58.669,4.191,45.677,9.579,11:55AM,Partly Cloudy
24/07/19,56.958999999999996,4.069,44.895,9.557,1:25PM,Partly Cloudy
23/07/19,48.692,3.478,37.757,9.664,1:10PM,Partly Cloudy
22/07/19,53.714,3.8369999999999997,42.34,9.808,2:00PM,Partly Cloudy
21/07/19,67.48899999999999,4.821000000000001,54.18,9.247,12:20PM,Partly Cloudy
20/07/19,68.865,4.919,57.666000000000004,9.545,1:00PM,Partly Cloudy
19/07/19,68.453,4.89,57.881,9.642999999999999,1:05PM,Partly Cloudy
18/07/19,68.523,4.895,58.461999999999996,9.503,1:30PM,Partly Cloudy
17/07/19,68.797,4.914,58.379,9.542,1:05PM,Partly Cloudy
16/07/19,68.881,4.92,58.18,9.627,12:45PM,Partly Cloudy
15/07/19,67.866,4.848,58.465,9.325,12:50PM,Partly Cloudy
14/07/19,68.164,4.869,52.831,9.354,12:30PM,Partly Cloudy
13/07/19,67.0,4.7860000000000005,54.805,9.229,1:10PM,Partly Cloudy
12/07/19,65.944,4.71,54.24,9.4,12:55PM,Partly Cloudy
11/07/19,69.09,4.935,58.645,9.426,12:55PM,Partly Cloudy
10/07/19,69.845,4.989,58.261,9.529,12:55PM,Fine
09/07/19,70.97399999999999,5.07,58.013999999999996,9.712,1:00PM,Fine
08/07/19,71.343,5.096,60.748999999999995,9.795,1:05PM,Fine
07/07/19,64.98100000000001,4.6419999999999995,53.136,10.53,12:55PM,Partly Cloudy
06/07/19,72.377,5.17,59.856,9.844,12:10PM,Fine
05/07/19,71.28699999999999,5.092,58.269,9.775,12:40PM,Fine
04/07/19,72.876,5.205,61.518,9.805,1:30PM,Fine
03/07/19,72.613,5.187,59.446000000000005,9.942,1:15PM,Fine
02/07/19,72.051,5.147,60.547,9.77,1:10PM,Fine
01/07/19,71.221,5.087,57.27,9.619,12:50PM,Fine
30/06/19,748,5.003,57.873999999999995,9.751,12:20PM,Fine
29/06/19,44.266000000000005,3.162,31.368000000000002,9.86,11:35AM,Mostly Cloudy
28/06/19,74.53699999999999,5.324,61.104,175,1:00PM,Fine
