Date (dd/mm/yy),Generated (kWh),Efficiency (kWh/kW),Exported (kWh),Peak Power (kW),Peak Time (hh:mm:am/pm),Weather Conditions (category)
22/10/19,101.493,4.203,,16.004,2:15PM,Partly Cloudy
21/10/19,101.846,4.217,,16.172,2:15PM,Partly Cloudy
20/10/19,102.855,4.259,,16.424,2:00PM,Partly Cloudy
19/10/19,106.278,4.401,,16.584,2:00PM,Partly Cloudy
18/10/19,103.585,4.289,,16.155,2:15PM,Partly Cloudy
17/10/19,107.065,4.433,,17.02,2:00PM,Partly Cloudy
16/10/19,97.384,4.032,,16.764,2:00PM,Partly Cloudy
15/10/19,105.583,4.372,,16.608,1:45PM,Partly Cloudy
14/10/19,109.988,4.554,,17.096,2:00PM,Partly Cloudy
13/10/19,111.263,4.607,,16.7,2:45PM,Partly Cloudy
11/10/19,26.317,1.09,,13.508,11:45AM,Cloudy
10/10/19,110.666,4.582,,16.992,1:45PM,Partly Cloudy
09/10/19,115.92,4.8,,17.884,2:00PM,Partly Cloudy
08/10/19,115.013,4.762,,17.532,2:30PM,Partly Cloudy
07/10/19,114.94,4.759,,17.508,2:00PM,Partly Cloudy
06/10/19,116.114,4.808,,17.548,2:15PM,Partly Cloudy
05/10/19,118.826,4.92,,17.64,2:30PM,Partly Cloudy
04/10/19,120.997,5.01,,18.172,2:15PM,Fine
03/10/19,120.888,5.006,,18.004,2:00PM,Fine
02/10/19,120.356,4.984,,18.068,2:15PM,Partly Cloudy
01/10/19,121.91,5.048,,18.1,2:30PM,Fine
30/09/19,125.433,5.194,,18.728,2:15PM,Fine
29/09/19,122.553,5.075,,18.736,1:45PM,Fine
28/09/19,76.447,3.166,,18.996,3:30PM,Mostly Cloudy
27/09/19,45.463,1.883,,10.768,3:45PM,Cloudy
26/09/19,35.223,1.459,,12.6,3:45PM,Cloudy
25/09/19,107.459,4.45,,17.684,1:00PM,Partly Cloudy
24/09/19,115.369,4.777,,17.212,2:15PM,Partly Cloudy
23/09/19,121.58,5.034,,18.016,2:30PM,Fine
22/09/19,106.12,4.394,,17.94,2:00PM,Partly Cloudy
21/09/19,121.224,5.02,,17.872,2:15PM,Fine
20/09/19,123.357,5.108,,18.108,2:15PM,Fine
19/09/19,124.196,5.143,,18.228,2:30PM,Fine
18/09/19,126.967,5.257,,18.496,2:15PM,Fine
17/09/19,125.46,5.195,,18.244,2:00PM,Fine
16/09/19,119.589,4.952,,17.916,2:15PM,Partly Cloudy
15/09/19,108.455,4.491,,18.116,1:45PM,Partly Cloudy
14/09/19,123.733,5.124,,17.724,2:15PM,Fine
13/09/19,123.926,5.132,,17.78,2:30PM,Fine
12/09/19,126.608,5.243,,17.608,3:15PM,Fine
10/09/19,131.294,5.437,,18.456,2:45PM,Fine
09/09/19,133.042,5.509,,18.76,2:15PM,Fine
08/09/19,134.349,5.563,,18.732,2:15PM,Fine
07/09/19,128.806,5.334,,18.168,2:30PM,Fine
06/09/19,125.729,5.206,,17.872,3:00PM,Fine
05/09/19,123.994,5.134,,17.516,2:15PM,Fine
04/09/19,71.382,2.956,,15.956,2:15PM,Mostly Cloudy
03/09/19,109.833,4.548,,15.86,2:15PM,Partly Cloudy
02/09/19,97.074,4.02,,16.384,2:30PM,Partly Cloudy
01/09/19,102.223,4.233,,16.288,2:45PM,Partly Cloudy
31/08/19,117.695,4.873,,16.632,2:45PM,Partly Cloudy
30/08/19,115.176,4.769,,16.396,2:15PM,Partly Cloudy
29/08/19,115.392,4.778,,16.504,2:15PM,Partly Cloudy
28/08/19,119.147,4.934,,16.58,2:15PM,Partly Cloudy
27/08/19,116.16,4.81,,16.428,2:15PM,Partly Cloudy
26/08/19,113.498,4.7,,16.379,2:15PM,Partly Cloudy
25/08/19,109.86,4.549,,16.196,3:00PM,Partly Cloudy
24/08/19,116.951,4.843,,16.656,2:45PM,Partly Cloudy
23/08/19,123.887,5.13,,17.068,2:30PM,Fine
22/08/19,127.237,5.269,,17.764,2:30PM,Fine
21/08/19,125.044,5.178,,17.256,2:45PM,Fine
20/08/19,126.512,5.239,,17.364,2:30PM,Fine
19/08/19,127.509,5.28,,17.3,2:30PM,Fine
18/08/19,128.538,5.322,,17.492,2:45PM,Fine
17/08/19,127.765,5.29,,17.744,2:30PM,Fine
16/08/19,129.536,5.364,,17.848,2:30PM,Fine
15/08/19,130.123,5.388,,17.48,2:45PM,Fine
14/08/19,127.0,5.259,,17.4,2:30PM,Fine
13/08/19,126.93,5.256,,17.304,2:30PM,Fine
12/08/19,130.402,5.4,,17.608,2:45PM,Fine
11/08/19,130.095,5.387,,17.712,2:30PM,Fine
10/08/19,125.198,5.184,,17.616,2:30PM,Fine
09/08/19,129.311,5.354,,17.484,2:30PM,Fine
08/08/19,128.991,5.341,,17.476,2:45PM,Fine
07/08/19,128.14,5.306,,17.2,2:45PM,Fine
06/08/19,122.611,5.077,,17.344,2:15PM,Fine
05/08/19,128.979,5.341,,17.436,2:30PM,Fine
04/08/19,128.479,5.32,,17.444,3:00PM,Fine
03/08/19,123.688,5.122,,17.88,2:45PM,Fine
02/08/19,119.269,4.939,,17.276,2:15PM,Partly Cloudy
01/08/19,131.579,5.448,,17.512,2:30PM,Fine
30/07/19,122.062,5.054,,18.06,2:00PM,Fine
29/07/19,131.058,5.427,,17.968,2:45PM,Fine
28/07/19,130.538,5.405,,17.784,2:30PM,Fine
27/07/19,129.848,5.377,,17.36,2:30PM,Fine
26/07/19,127.443,5.277,,17.228,2:45PM,Fine
25/07/19,123.564,5.117,,17.204,2:15PM,Fine
24/07/19,92.635,3.836,,18.64,2:45PM,Mostly Cloudy
23/07/19,97.329,4.03,,15.644,12:45PM,Partly Cloudy
22/07/19,95.385,3.95,,18.924,2:45PM,Mostly Cloudy
21/07/19,136.762,5.663,,18.032,2:15PM,Fine
20/07/19,138.555,5.737,,18.02,2:15PM,Fine
19/07/19,140.275,5.808,,18.256,2:30PM,Fine
18/07/19,138.98,5.755,,18.028,2:30PM,Fine
17/07/19,140.474,5.817,,18.472,2:30PM,Fine
16/07/19,140.389,5.813,,18.552,3:00PM,Fine
15/07/19,137.663,5.7,,18.064,2:30PM,Fine
14/07/19,139.532,5.778,,18.32,2:45PM,Fine
13/07/19,137.877,5.709,,17.992,2:30PM,Fine
12/07/19,135.945,5.629,,17.812,2:45PM,Fine
11/07/19,140.656,5.824,,18.124,2:45PM,Fine
10/07/19,145.98,6.045,,16.872,4:15PM,Fine
09/07/19,142.798,5.913,,18.564,2:45PM,Fine
08/07/19,145.13,6.01,,18.728,2:30PM,Fine
07/07/19,137.953,5.712,,19.42,2:45PM,Fine
06/07/19,145.191,6.012,,18.716,3:15PM,Fine
05/07/19,146.06,6.048,,18.804,2:45PM,Fine
04/07/19,146.737,6.076,,18.804,2:00PM,Fine
03/07/19,143.135,5.927,,19.312,3:00PM,Fine
02/07/19,146.481,6.065,,18.936,2:45PM,Fine
01/07/19,143.515,5.943,,18.628,2:30PM,Fine
30/06/19,143.095,5.925,,18.728,2:45PM,Fine
29/06/19,69.518,2.879,,14.72,11:45AM,Mostly Cloudy
28/06/19,142.814,5.914,,18.96,2:00PM,Fine
27/06/19,149.286,6.182,,19.132,2:45PM,Fine
26/06/19,149.27,6.181,,19.184,2:30PM,Fine
25/06/19,114.904,4.758,,20.072,2:00PM,Partly Cloudy
24/06/19,149.784,6.202,,19.244,2:30PM,Fine
23/06/19,142.543,5.902,,19.272,2:15PM,Fine
22/06/19,133.619,5.533,,19.124,2:15PM,Fine
21/06/19,114.395,4.737,,19.044,2:30PM,Partly Cloudy
20/06/19,128.499,5.321,,18.788,2:15PM,Fine
19/06/19,147.291,6.099,,18.784,2:30PM,Fine
18/06/19,143.498,5.942,,19.008,2:30PM,Fine
17/06/19,62.062,2.57,,17.28,12:15PM,Mostly Cloudy
16/06/19,120.332,4.983,,20.028,1:45PM,Partly Cloudy
15/06/19,145.264,6.015,,18.764,2:30PM,Fine
14/06/19,148.081,6.132,,18.916,2:15PM,Fine
13/06/19,143.039,5.923,,19.192,2:30PM,Fine
12/06/19,143.564,5.945,,18.58,2:30PM,Fine
11/06/19,130.324,5.396,,18.7,2:45PM,Fine
10/06/19,125.272,5.187,,17.832,1:45PM,Fine
09/06/19,144.288,5.975,,18.48,2:45PM,Fine
08/06/19,148.236,6.138,,19.08,2:15PM,Fine
07/06/19,146.79,6.078,,19.188,2:15PM,Fine
06/06/19,144.687,5.991,,19.248,2:00PM,Fine
05/06/19,145.068,6.007,,18.78,2:30PM,Fine
04/06/19,133.8,5.54,,,1:00PM,Fine
03/06/19,106.1,4.393,,,1:00PM,Fine
02/06/19,137.68,5.701,,,1:00PM,Fine
01/06/19,130.86,5.419,,,1:00PM,Fine
31/05/19,130.254,5.394,,19.444,2:30PM,Fine
30/05/19,148.624,6.154,,19.04,2:30PM,Fine
29/05/19,148.758,6.16,,19.352,2:30PM,Fine
28/05/19,146.075,6.049,,20.204,2:45PM,Fine
27/05/19,141.863,5.874,,20.524,3:00PM,Fine
26/05/19,32.957,1.365,,6.516,3:15PM,Cloudy
25/05/19,120.588,4.993,,18.952,4:00PM,Partly Cloudy
24/05/19,149.676,6.198,,19.756,2:30PM,Fine
23/05/19,61.932,2.564,,12.652,1:30PM,Mostly Cloudy
22/05/19,104.252,4.317,,19.932,1:30PM,Partly Cloudy
21/05/19,84.81,3.512,,14.772,1:00PM,Mostly Cloudy
20/05/19,115.831,4.796,,20.4,12:45PM,Partly Cloudy
19/05/19,80.251,3.323,,18.376,4:00PM,Mostly Cloudy
18/05/19,132.672,5.494,,19.812,2:45PM,Fine
17/05/19,131.443,5.443,,20.576,1:15PM,Fine
16/05/19,97.13,4.022,,20.392,3:00PM,Partly Cloudy
15/05/19,107.328,4.444,,17.58,3:30PM,Partly Cloudy
14/05/19,146.789,6.078,,19.352,2:15PM,Fine
13/05/19,131.601,5.449,,19.008,2:30PM,Fine
12/05/19,148.608,6.154,,19.148,2:30PM,Fine
11/05/19,83.506,3.458,,19.28,3:15PM,Mostly Cloudy
10/05/19,44.516,1.843,,10.272,10:15AM,Cloudy
09/05/19,28.909,1.197,,8.86,12:15PM,Cloudy
08/05/19,56.049,2.321,,15.944,3:30PM,Cloudy
07/05/19,56.049,2.321,,15.944,3:30PM,Cloudy
06/05/19,142.827,5.914,,19.496,2:30PM,Fine
05/05/19,142.827,5.914,,19.496,2:30PM,Fine
04/05/19,142.827,5.914,,19.496,2:30PM,Fine
03/05/19,142.827,5.914,,19.496,2:30PM,Fine
02/05/19,134.299,5.561,,19.472,1:45PM,Fine
