DateTime,Generated,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-09-03 23:30:00+00:00,0.36964234420973363,31.9,102,0.0,17.8,96,768,399,495,38.3,43.1,0.0,976.0,285,3.8,59
2019-10-17 23:15:00+00:00,0.32199501595360647,21.5,117,0.0,10.0,64,799,289,353,13.2,47.9,0.0,973.6,220,4.3,69
2019-08-05 16:00:00+00:00,0.4789458974776999,25.6,-93,0.0,13.5,104,820,496,600,21.3,47.0,0.0,978.6,273,1.9,53
2019-05-24 16:15:00+00:00,0.6385673583777783,15.1,-92,0.0,9.5,58,1036,718,776,12.2,68.8,0.0,963.8,320,1.1,46
2019-06-17 19:00:00+00:00,0.6885126270271948,26.5,-135,58.3,13.2,453,20,19,472,15.7,43.7,0.0,975.4,253,3.3,13
2019-10-21 16:30:00+00:00,0.49404942124508,25.9,-128,0.0,-0.7,80,886,445,524,11.7,17.4,0.0,981.1,84,1.4,60
2019-07-14 15:00:00+00:00,0.3126014082648221,23.2,-80,0.0,14.8,87,761,344,431,17.3,59.0,0.0,979.4,267,1.3,63
2019-08-13 13:15:00+00:00,0.0030820349193780034,19.1,-73,0.0,15.5,14,42,7,21,14.8,79.9,0.0,979.4,264,0.7,88
2019-07-04 22:00:00+00:00,0.7521019167617672,24.9,99,0.0,11.8,56,1068,910,966,13.9,43.9,0.0,977.3,254,4.3,32
2019-10-02 21:45:00+00:00,0.6760369844190325,25.0,132,5.8,8.8,127,834,554,681,10.8,35.8,0.0,977.0,266,3.7,48
2019-10-18 15:30:00+00:00,0.27281443354992974,16.8,-116,0.0,11.2,74,750,259,332,15.0,69.4,0.0,977.8,252,0.3,70
2019-07-31 17:15:00+00:00,0.6912996560852722,25.4,-104,0.0,14.7,113,904,724,838,20.7,51.3,0.0,979.9,247,1.7,37
2019-08-02 22:45:00+00:00,0.47440824153216726,30.9,99,2.3,11.9,123,832,612,735,20.5,31.2,0.0,977.8,270,3.5,43
2019-06-30 18:30:00+00:00,0.7570665548749719,25.8,-116,0.0,11.8,96,1008,955,1051,13.5,41.7,0.0,976.5,231,3.6,19
2019-07-11 14:30:00+00:00,0.2620894178292227,21.3,-76,34.2,14.3,173,116,42,216,16.3,64.3,0.0,981.0,274,1.3,69
2019-07-31 16:30:00+00:00,0.5847481969707556,24.2,-96,0.0,14.7,109,859,597,706,20.8,55.5,0.0,979.5,253,1.8,46
2019-06-13 19:30:00+00:00,0.862511742009611,26.7,-168,0.0,13.6,65,1103,1086,1151,16.3,44.4,0.0,975.0,260,3.4,10
2019-08-03 02:15:00+00:00,0.0191714993284735,27.1,71,9.6,11.1,27,67,11,38,21.0,37.0,0.0,978.0,278,2.6,86
2019-08-08 21:30:00+00:00,0.7425181079255654,28.7,119,0.0,12.9,108,941,825,933,18.8,37.9,0.0,977.5,266,3.9,29
2019-10-04 15:30:00+00:00,0.3726545093198562,18.6,-111,0.0,6.9,67,835,324,391,6.6,46.4,0.0,980.5,291,0.9,67
2019-08-11 01:15:00+00:00,0.1091133521205487,24.7,80,0.0,12.4,59,618,157,216,15.6,46.4,0.0,978.0,271,3.1,75
2019-07-19 13:45:00+00:00,0.021034694241951386,18.4,-72,59.5,15.3,57,11,2,59,15.5,82.3,0.0,978.3,260,1.5,79
2019-09-13 00:00:00+00:00,0.30642569345785686,27.6,100,0.0,15.1,72,753,288,360,19.4,46.6,0.0,978.7,286,2.6,68
2019-07-18 22:15:00+00:00,0.7116899954196458,26.9,100,0.0,13.2,112,894,732,844,19.4,42.9,0.0,978.3,264,4.0,35
2019-05-23 01:15:00+00:00,0.08344784218739083,12.2,75,41.5,10.1,110,86,23,133,15.8,86.8,0.0,957.5,263,4.2,75
2019-07-01 00:45:00+00:00,0.2835433309267066,25.8,77,0.0,11.8,61,814,332,393,13.5,41.6,0.0,976.5,231,3.6,66
2019-09-02 17:45:00+00:00,0.6389089441119159,30.4,-126,0.3,16.6,143,839,677,820,35.7,43.5,0.0,980.1,251,2.5,36
2019-07-28 00:15:00+00:00,0.35435638260707547,31.4,85,0.6,14.1,84,777,378,463,24.6,35.0,0.0,978.8,273,3.0,61
2019-07-28 19:15:00+00:00,0.7181995326486093,29.1,-151,0.7,16.5,141,914,881,1022,26.1,46.6,0.0,980.2,246,3.6,15
2019-09-25 00:00:00+00:00,0.25020766859973137,27.6,103,0.0,12.9,71,688,224,294,24.7,40.5,0.0,974.3,297,3.0,71
2019-10-14 21:15:00+00:00,0.667089767178269,22.5,142,2.8,8.1,102,910,605,707,10.7,39.8,0.0,977.2,272,4.3,48
2019-05-30 01:00:00+00:00,0.20160545295044677,19.7,76,13.5,12.9,108,483,156,264,17.6,64.8,0.0,959.8,274,3.1,71
2019-10-12 00:45:00+00:00,0.015860446700980507,22.9,101,0.0,1.9,28,208,35,63,8.8,25.2,0.0,977.4,244,1.3,85
2019-09-28 14:45:00+00:00,0.052786640892470364,18.6,-102,41.5,13.9,114,57,15,129,21.4,74.2,0.0,975.2,230,2.1,75
2019-07-01 01:15:00+00:00,0.1711033995543859,25.8,73,0.0,11.8,58,717,221,279,13.5,41.6,0.0,976.5,231,3.6,72
2019-06-01 00:15:00+00:00,0.3630590555154451,22.7,81,6.1,10.1,92,766,364,456,13.8,44.8,0.0,960.7,252,3.7,62
2019-10-09 20:00:00+00:00,0.7966400385060282,23.9,167,0.0,9.0,88,994,766,854,12.2,38.6,0.0,975.6,246,4.4,40
2019-09-17 20:00:00+00:00,0.6431205409475899,27.8,167,0.0,8.9,104,972,835,938,14.8,30.6,0.0,979.6,252,4.4,31
2019-09-21 01:30:00+00:00,0.0037341531390952636,21.9,89,0.0,12.9,12,37,6,18,14.9,56.7,0.0,975.5,276,2.4,89
2019-07-24 13:30:00+00:00,0.013791524015806104,24.9,-71,4.1,15.9,51,203,35,85,36.9,57.2,0.0,978.9,245,0.5,82
2019-09-07 02:15:00+00:00,0.0002328993641847358,28.3,79,0.0,14.5,0,0,0,0,24.0,43.1,0.0,980.4,284,2.5,94
2019-06-23 18:45:00+00:00,0.8688698946518543,26.2,-124,0.0,12.5,67,1089,1049,1115,14.7,42.8,0.0,975.9,243,3.4,16
2019-08-07 14:30:00+00:00,0.05869063977455342,20.6,-81,19.5,16.5,122,293,93,215,31.8,77.5,0.0,978.8,255,1.3,72
2019-09-27 15:45:00+00:00,0.14161057673645885,19.5,-111,49.2,15.4,207,38,17,224,26.8,77.1,0.0,979.5,278,1.6,63
2019-10-16 18:45:00+00:00,0.7105216169426524,29.4,-165,0.0,5.6,89,982,725,814,12.5,22.2,0.0,978.1,215,2.0,42
2019-06-19 18:30:00+00:00,0.8438021597534372,26.4,-117,0.0,13.0,75,1064,1011,1086,15.3,43.4,0.0,975.5,249,3.3,18
2019-09-07 18:45:00+00:00,0.6054917670074761,31.1,-152,0.0,14.4,108,964,842,950,19.3,36.1,0.0,979.8,255,3.7,29
2019-06-07 12:45:00+00:00,0.00020572777169651662,24.1,-64,0.5,12.9,12,25,4,16,18.4,49.6,0.0,970.5,244,2.5,88
